UniprotID.TF	UniprotID.Target	NCBI.GeneID.TF	NCBI.GeneID.Target	Name.TF	Name.Target	Detection.method	PubmedID	Organism	Source.database	Small-scale.evidence	TF.TFLink.ortho	TF.nonTFLink.ortho	Target.TFLink.ortho	Target.nonTFLink.ortho
P17676	P06702	1051	6280	CEBPB	S100A9	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	29126285;9706399;27924024;29087512;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRRUST	Yes	Mm:P28033;Rn:P21272	-	Mm:P31725	Rn:A0A0H2UHJ1
O00255	P17535	4221	3727	MEN1	JUND	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;22327296	Homo sapiens	GTRD;TRRUST	Yes	-	-	Dr:B0V1Q6;Mm:P15066;Rn:P52909	-
P56693	P13942	6663	1302	SOX10	COL11A2	inferred by curator	12783851;29087512	Homo sapiens	TRRUST	Yes	Dr:Q90XD1;Mm:Q04888;Rn:O55170	-	-	-
O75469	Q9NP84	8856	51330	NR1I2	TNFRSF12A	inferred by curator	29087512;21072196	Homo sapiens	TRRUST	Yes	Mm:O54915;Rn:Q9R1A7	-	Mm:Q9CR75;Rn:G3V6F9	-
P04637	Q9NS56	7157	10210	TP53	TOPORS	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Mm:P02340	Dr:B0R0M3;Rn:M0R497	Dr:E7F1A2;Mm:Q80Z37	Rn:D3ZZE0
Q13485	P35222	4089	1499	SMAD4	CTNNB1	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Mm:P97471;Rn:A0A0G2K970	Dm:Q8IMG6	Dm:P18824;Mm:Q02248	Ce:H2L2I2;Dr:A0A5H1ZRJ2;Rn:A0A0G2JT93
P10275	P00750	367	5327	AR	PLAT	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	29126285;20610535;27924024;17202159;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRED	Yes	Mm:P19091;Rn:A0A0G2JSI8	-	-	-
Q9BYV9	P17861	60468	7494	BACH2	XBP1	chromatin immunoprecipitation assay;inferred by curator	29087512;24821775;29126285	Homo sapiens	ReMap;TRRUST	Yes	Dr:Q5RIW6;Mm:P97303	Rn:D3ZW33	Rn:A0A140TAA7	Dr:F1R5F9;Mm:A0A5F8MPD3
Q9Y2N7	Q99814	64344	2034	HIF3A	EPAS1	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;19755485	Homo sapiens	GTRD;TRRUST	Yes	Dr:A0A0R4IBR4;Mm:Q0VBL6;Rn:F1LRL5	-	Dr:B3DJD1;Mm:P97481;Rn:A0A0G2K9J6	-
P03372	P42229	2099	6776	ESR1	STAT5A	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Mm:P19785	Rn:A0A0G2K0D4	Mm:P42230;Rn:G3V8K7	-
P15336	P01375	1386	7124	ATF2	TNF	chromatin immunoprecipitation assay;inferred by curator	10748079;29126285;10688670;20068037;27924024;10913190;17202159;29087512	Homo sapiens	GTRD;ReMap;TRED;TRRUST	Yes	Mm:P16951;Rn:Q00969	Dr:F1QIZ9	Mm:P06804	Rn:P16599
P05549	P14923	7020	3728	TFAP2A	JUP	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	-	-	Mm:Q02257;Rn:Q6P0K8	Dr:F8W4M8
P08047	Q9BQ69	6667	28992	SP1	MACROD1	chromatin immunoprecipitation assay;inferred by curator	29126285;18206366;26578589;27924024;15691879;29087512	Homo sapiens	GTRD;ORegAnno;ReMap;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Dr:F6PBM1;Mm:Q922B1	Rn:A0A0G2K5F1
P33076	P01903	4261	3122	CIITA	HLA-DRA	chromatin immunoprecipitation assay;inferred by curator	11429551;10886240;9300692;27924024;11889043;29087512;9600954	Homo sapiens	GTRD;TRRUST	Yes	-	-	-	Mm:A0A494B9M4;Rn:Q6MG98
P31260	Q02363	3206	3398	HOXA10	ID2	inferred by curator	29087512;20565746	Homo sapiens	TRRUST	Yes	Mm:P31310	Rn:D3ZHM5	Dr:Q7SZQ2;Mm:P41136;Rn:P41137	-
P23511	P35713	4800	54345	NFYA	SOX18	inferred by curator	18496767;29087512	Homo sapiens	TRRUST	Yes	Mm:P23708	Rn:A0A0G2KB97	Dr:E7F9I2;Mm:P43680	Rn:Q4V7E4
P33076	P48023	4261	356	CIITA	FASLG	inferred by curator	29087512;14563113	Homo sapiens	TRRUST	Yes	-	-	Mm:P41047	Dr:Q0PKX7;Rn:P36940
Q15653	P01574	4793	3456	NFKBIB	IFNB1	inferred by curator	29087512;10074115	Homo sapiens	TRRUST	Yes	Mm:Q60778;Rn:Q5U342	-	Mm:P01575;Rn:P70499	-
Q03060	P42081	1390	942	CREM	CD86	chromatin immunoprecipitation assay;inferred by curator	24234451;29126285;27924024;19299714	Homo sapiens	GTRD;IntAct_via_DoRothEA;ReMap	Yes	Rn:Q03061	Mm:D3Z7M6	Mm:P42082;Rn:O35531	-
P08047	P15170	6667	2935	SP1	GSPT1	chromatin immunoprecipitation assay;inferred by curator	29087512;22580340;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:F1QW97;Rn:Q01714	Mm:G3X8Q0	Mm:Q8R050	Rn:Q6AYD5
Q16254	P08572	1874	1284	E2F4	COL4A2	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	Mm:P08122	Rn:F1M6Q3
Q8N907	O75398	199699	10522	DAND5	DEAF1	chromatin immunoprecipitation assay;inferred by curator	29126285;29087512;8055899	Homo sapiens	ReMap;TRRUST	Yes	Mm:Q76LW6	Rn:D3ZGN3	Mm:Q9Z1T5;Rn:F1LQ17	Dm:E8NH34;Dr:B3DHN2
Q01543	P15976	2313	2623	FLI1	GATA1	inferred by curator	17202159;10523830;29087512;12724402	Homo sapiens	TRED;TRRUST	Yes	Mm:P26323;Rn:Q4Z8P1	Dr:Q9PU61	Mm:P17679	Rn:P43429
P11161	P15018	1959	3976	EGR2	LIF	inferred by curator	29087512;24007274	Homo sapiens	TRRUST	Yes	Dr:Q66HY5;Mm:P08152;Rn:P51774	-	Mm:P09056;Rn:O88211	-
Q06710	Q03014	7849	3087	PAX8	HHEX	inferred by curator	15062550;20211142	Homo sapiens	FANTOM4_via_DoRothEA	Yes	Mm:Q00288;Rn:P51974	Dr:F1Q9Q9	Ce:Q9N4L2;Mm:P43120;Rn:F7F7Q9	-
Q04206	Q16822	5970	5106	RELA	PCK2	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;20137375;17202159;29087512	Homo sapiens	GTRD;ReMap;TRED;TRRUST	Yes	Mm:Q04207;Rn:Q7TQN4	-	Dr:F1R9Y5;Rn:F1LQJ7	-
Q16665	Q96ED9	3091	29911	HIF1A	HOOK2	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	19828020;29126285;27924024;17202159;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRED	Yes	Dr:Q6EHI4;Mm:Q61221;Rn:D4A8P8	-	Mm:Q7TMK6;Rn:E9PTX3	Dr:A0A0R4IRV0
P10275	P84243	367	3020;3021	AR	H3-3A;H3-3B	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	29126285;20610535;27924024;17202159;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRED	Yes	Mm:P19091;Rn:A0A0G2JSI8	-	-	-
Q8N907	P56282	199699	5427	DAND5	POLE2	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;11433027	Homo sapiens	ReMap;TRRUST	Yes	Mm:Q76LW6	Rn:D3ZGN3	Dm:Q9VRQ7;Mm:O54956;Rn:D4ABZ5	-
P16220	P01732	1385	925	CREB1	CD8A	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:Q803K8;Mm:Q01147;Rn:P15337	Dr:E9QHG0	Mm:P01731	Rn:P07725
Q16254	O15392	1874	332	E2F4	BIRC5	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	17671431;29126285;26578589;18971253;27924024;18504435;17531812;17202159;29087512;22900683	Homo sapiens	GTRD;HTRI;ORegAnno;PAZAR;ReMap;TRED;TRRUST	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	-	-
P11308	Q5T9G4	2078	221481	ERG	ARMC12	chromatin immunoprecipitation assay;inferred by curator	29126285;20478527;27924024;24234451	Homo sapiens	GTRD;IntAct_via_DoRothEA;ReMap	Yes	Mm:P81270	Dr:F1QK28;Rn:A0A0G2JWE9	Mm:Q80X86	Rn:B0BNC7
P25791	Q9UJU2	4005	51176	LMO2	LEF1	chromatin immunoprecipitation assay;inferred by curator	22517897;29087512;29126285	Homo sapiens	ReMap;TRRUST	Yes	Dr:Q9PTJ3;Mm:P25801;Rn:A0A0G2QC60	-	Dr:Q9W7C0;Mm:P27782;Rn:G3V7C1	-
P08651	Q04695	4782	3872	NFIC	KRT17	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Mm:P70255;Rn:O70188	-	Mm:Q9QWL7	Rn:A0A0G2K9Q9
P35222	P24385	1499	595	CTNNB1	CCND1	chromatin immunoprecipitation assay;inferred by curator	29126285;17109766;29087512;27924024;19778454;18679417;16628468;20300972;19662654	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dm:P18824;Mm:Q02248	Ce:H2L2I2;Dr:A0A5H1ZRJ2;Rn:A0A0G2JT93	Dr:Q90459;Mm:P25322;Rn:P39948	-
P17676	P29460	1051	3593	CEBPB	IL12B	chromatin immunoprecipitation assay;inferred by curator	17202159;25202013;27924024;24234451	Homo sapiens	GTRD;IntAct_via_DoRothEA;TRED	Yes	Mm:P28033;Rn:P21272	-	Mm:P43432	Rn:E9PU71
P14921	Q13490	2113	329	ETS1	BIRC2	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;20019798;18971253;27924024;17202159;22900683	Homo sapiens	GTRD;HTRI;ORegAnno;PAZAR;ReMap;TRED	Yes	Mm:P27577;Rn:P41156	-	Dm:Q24306;Mm:Q62210;Rn:Q6P6S1	-
P04150	P19419	2908	2002	NR3C1	ELK1	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;27924024;17016446	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:Q1XHK0	Mm:E9PYV1	Mm:P41969	Dr:A0A0R4IDT6;Rn:A4GTP4
Q12809	Q07654	3757	7033	KCNH2	TFF3	inferred by curator	29087512;21170267	Homo sapiens	TRRUST	Yes	Mm:Q53Z09;Rn:F1LN86	-	Mm:Q62395;Rn:A0A0G2JSY6	-
P16220	O15528	1385	1594	CREB1	CYP27B1	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:Q803K8;Mm:Q01147;Rn:P15337	Dr:E9QHG0	Dm:Q9V5L3;Dr:A0A140LGN8;Mm:O35084	Rn:M0R3V1;Rn:A0A0G2K339
P01106	O60519	4609	1389	MYC	CREBL2	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	Dr:Q642H2;Mm:A0A0R4J0D8;Rn:A0A0G2JYS9	-
Q04206	P35222	5970	1499	RELA	CTNNB1	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Mm:Q04207;Rn:Q7TQN4	-	Dm:P18824;Mm:Q02248	Ce:H2L2I2;Dr:A0A5H1ZRJ2;Rn:A0A0G2JT93
Q01094	O00478	1869	10384	E2F1	BTN3A3	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	Mm:Q61501;Rn:O09139	-	-	-
Q07869	P05413	5465	2170	PPARA	FABP3	inferred by curator	17202159;22761861;16936205	Homo sapiens	TFactS_via_DoRothea;TRED	Yes	Dr:K7DY57;Mm:P23204;Rn:P37230	-	Dr:Q8UVG7;Mm:P11404;Rn:P07483	-
P03372	P03372	2099	2099	ESR1	ESR1	chromatin immunoprecipitation array;chromatin immunoprecipitation assay;inferred by curator	29126285;16636675;27924024;18414489;29087512;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRRUST	Yes	Mm:P19785	Rn:A0A0G2K0D4	Mm:P19785	Rn:A0A0G2K0D4
P31260	P12980	3206	4066	HOXA10	LYL1	inferred by curator	19608273;29087512	Homo sapiens	TRRUST	Yes	Mm:P31310	Rn:D3ZHM5	Mm:P27792	Rn:Q66HH3
P01106	P42898	4609	4524	MYC	MTHFR	chromatin immunoprecipitation assay;inferred by curator	29126285;12695333;27924024;17202159;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	Ce:Q17693;Dr:B0V153;Rn:D4A7E8;Sc:P53128	Mm:A2A7F9
Q01094	P07996	1869	7057	E2F1	THBS1	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;20976175;22761861;18971253;27924024;29087512	Homo sapiens	GTRD;ORegAnno;PAZAR;ReMap;TFactS_via_DoRothea;TRRUST	Yes	Mm:Q61501;Rn:O09139	-	Mm:Q80YQ1;Rn:A0A0G2JV24	Dr:F1QEE7
Q04206	P01562	5970	3439;3447	RELA	IFNA1;IFNA13	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;8035474	Homo sapiens	GTRD;TRRUST	Yes	Mm:Q04207;Rn:Q7TQN4	-	-	-
P23769	P29474	2624	4846	GATA2	NOS3	chromatin immunoprecipitation assay;inferred by curator	29126285;26578589;10713142;19941826;18971253;27924024;29087512;22900683	Homo sapiens	GTRD;HTRI;ORegAnno;PAZAR;ReMap;TRRUST	Yes	Mm:O09100;Rn:Q924Y4	Dr:Q7T3G1	Mm:P70313	Rn:F1LQC7
P01106	Q8NEB9	4609	5289	MYC	PIK3C3	chromatin immunoprecipitation assay;inferred by curator	29126285;12747840;27924024;17202159;22900683	Homo sapiens	GTRD;HTRI;ReMap;TRED	Yes	Dr:F1RC36;Mm:P01108	-	-	-
P22415	P11802	7391	1019	USF1	CDK4	chromatin immunoprecipitation assay;inferred by curator	27924024;15208653;22900683;20211142	Homo sapiens	FANTOM4_via_DoRothEA;GTRD;HTRI	Yes	Dr:F1QUA1;Mm:Q61069;Rn:O35410	-	Ce:Q9XTR1;Mm:P30285;Rn:P35426	Dr:F1RDQ7
P08151	Q9ULD2	2735	57509	GLI1	MTUS1	inferred by curator	18924150;22761861	Homo sapiens	TFactS_via_DoRothea	Yes	Mm:P47806;Rn:G3V6X8	-	-	Mm:A0A0R4J0N9;Rn:D2XRB8
P17947	P25024	6688	3577	SPI1	CXCR1	chromatin immunoprecipitation assay;inferred by curator	29087512;29126285;27924024;9867862	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:P17433	Dr:Q6PHV7;Rn:Q6BDS1	-	-
Q07352	P15692	677	7422	ZFP36L1	VEGFA	inferred by curator	19801654;29087512	Homo sapiens	TRRUST	Yes	Dr:Q6P3H0;Mm:P23950;Rn:P17431	Dr:F1RCP3	Dr:O73682	Mm:E9Q4N8
Q16254	P45844	1874	9619	E2F4	ABCG1	chromatin immunoprecipitation array;inferred by curator	17531812;17202159;22900683	Homo sapiens	HTRI;TRED	Yes	Dr:A0A0R4ICD5;Mm:Q8R0K9;Rn:D4A9V4	-	Mm:Q64343;Rn:G3V642	Dr:F1RDP4
P37231	P12319	5468	2205	PPARG	FCER1A	chromatin immunoprecipitation assay;inferred by curator	27924024;17202159	Homo sapiens	GTRD;TRED	Yes	-	-	Mm:P20489	Rn:A0A0G2JV43
O43524	P04179	2309	6648	FOXO3	SOD2	chromatin immunoprecipitation assay;inferred by curator	22458515;24234451;27899662;22761861;27924024;18781224;15674333	Homo sapiens	GTRD;IntAct_via_DoRothEA;KEGG_via_DoRothEA;TFactS_via_DoRothea;TFe_via_DoRothEA	Yes	Dr:Q5TYS1;Mm:Q9WVH4;Rn:D3ZBQ1	-	Ce:P31161;Ce:P41977;Dr:Q6P980;Mm:P09671;Rn:P07895;Sc:P00447	Dm:A0A0B4LGQ1
P78410	P62070	11118	22800	BTN3A2	RRAS2	inferred by curator	29087512;17312387	Homo sapiens	TRRUST	Yes	Dr:A0A1D5NSN6	-	Dm:P04388;Dr:Q568M0;Mm:P62071;Rn:Q5BJU0	-
P26367	O15540	5080	2173	PAX6	FABP7	inferred by curator	29087512;22583899	Homo sapiens	TRRUST	Yes	Mm:P63015	Dr:A0A0R4IXU2;Rn:A0A0G2JZE2	Mm:P51880;Rn:P55051	Dr:Q9I8N9;Dr:Q6U1J7
Q16665	Q99075	3091	1839	HIF1A	HBEGF	chromatin immunoprecipitation assay;inferred by curator	29087512;22641673;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Dr:Q6EHI4;Mm:Q61221;Rn:D4A8P8	-	Mm:Q06186;Rn:Q06175	-
P48382	P20023	5993	1380	RFX5	CR2	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	12444129;22900683	Homo sapiens	HTRI	Yes	Mm:Q9JL61;Rn:D3ZHD7	-	-	Ce:H2L2E9;Rn:A0A0G2K684
P19544	P12830	7490	999	WT1	CDH1	chromatin immunoprecipitation assay;inferred by curator	23298185;23945386;27924024;17202159;29087512	Homo sapiens	GTRD;TRED;TRRUST	Yes	Rn:D3ZJ55	Dr:Q9PUT7;Mm:F6Y2T6	-	-
P84022	O15105	4088	4092	SMAD3	SMAD7	chromatin immunoprecipitation assay;electrophoretic mobility shift assay;inferred by curator	10753944;10973944;10823886;29126285;27899662;10843994;10559222;12761881;15579469;20211142;10887185;22761861;27924024;29087512;22900683	Homo sapiens	FANTOM4_via_DoRothEA;GTRD;HTRI;KEGG_via_DoRothEA;ReMap;TFactS_via_DoRothea;TRRUST	Yes	Dr:Q8AY15;Mm:Q8BUN5;Rn:P84025	-	Dr:Q8AWR7;Mm:O35253;Rn:A0A0G2JSQ5	-
Q01196	P17213	861	671	RUNX1	BPI	chromatin immunoprecipitation assay;inferred by curator	27924024;29087512;29126285;14623259	Homo sapiens	GTRD;ReMap;TRRUST	Yes	-	Mm:Q3UM65;Rn:A0A0G2JYQ4	-	-
Q01094	P06400	1869	5925	E2F1	RB1	chromatin immunoprecipitation assay;inferred by curator	29126285;16738312;8119953;26578589;20211142;8264596;22761861;18971253;15618023;27924024;17202159;29087512	Homo sapiens	FANTOM4_via_DoRothEA;GTRD;ORegAnno;PAZAR;ReMap;TFactS_via_DoRothea;TRED;TRRUST	Yes	Mm:Q61501;Rn:O09139	-	Dm:Q9VF04;Dr:F1Q9D6;Mm:P13405;Rn:R9PXV5	-
P42224	P36776	6772	9361	STAT1	LONP1	chromatin immunoprecipitation assay;inferred by curator	22761861;29126285;27924024;10068671	Homo sapiens	GTRD;ReMap;TFactS_via_DoRothea	Yes	Dr:Q6P943	Mm:A0A087WSP5	Ce:O44952;Dm:Q7KUT2;Mm:Q8CGK3;Rn:Q924S5;Sc:P36775	Dr:A0A0R4IH79
P16220	P20226	1385	6908	CREB1	TBP	chromatin immunoprecipitation assay;inferred by curator	29126285;27924024;17202159	Homo sapiens	GTRD;ReMap;TRED	Yes	Dr:Q803K8;Mm:Q01147;Rn:P15337	Dr:E9QHG0	Dr:Q7SXL3;Mm:P29037;Rn:Q66HB1	-
Q16236	Q6IB77	4780	10249	NFE2L2	GLYAT	inferred by curator	29087512;22493435	Homo sapiens	TRRUST	Yes	Dr:Q7ZVI2;Mm:Q60795;Rn:O54968	-	Mm:Q91XE0;Rn:B1H250	Rn:A0A0G2JWI5
P27540	Q96S44	405	112858	ARNT	TP53RK	chromatin immunoprecipitation assay;inferred by curator	29126285;24234451;21620138	Homo sapiens	IntAct_via_DoRothEA;ReMap	Yes	Mm:P53762;Rn:F1LMF9	-	Ce:B5WWL2;Dm:Q9VRJ6;Dr:F1QB90;Mm:Q5U452;Mm:Q543M9;Rn:D3ZL21;Rn:D3ZCD7;Sc:P53323	-
Q9H3D4	Q92817	8626	2125	TP63	EVPL	chromatin immunoprecipitation assay;inferred by curator	15988020;29087512;29126285;27924024	Homo sapiens	GTRD;ReMap;TRRUST	Yes	Mm:O88898;Rn:Q9JJP6	Dr:F1QLJ1	Mm:Q9D952;Rn:G3V765	Dr:F1Q4X8;Dr:A0A0R4ID71
P19838	Q03518	4790	6890	NFKB1	TAP1	chromatin immunoprecipitation assay;inferred by curator	29087512;27924024;18694960	Homo sapiens	GTRD;TRRUST	Yes	Dm:Q94527;Mm:P25799;Rn:F1LQH2	-	Dr:E7F8A9;Mm:P21958;Rn:P97949	-
O00255	Q96B01	4221	10635	MEN1	RAD51AP1	inferred by curator	23648481;29087512	Homo sapiens	TRRUST	Yes	-	-	Dr:Q1L8M2;Mm:A0A0R4J1G4;Rn:A1A5P3	-
